Num Sol. Externa,Numero,Fecha Programado GyP,Fecha Solicitud Servicio SDM,Programdo/Demanda,Especial,Tipo Servicio,Clase Servicio,ANS,Estado Servicio,Estado Detalle Servicio,Movil,Gruas,Tipo Grua,Entidad,Direccion,Clase Vehículo,Vehiculo,Parq Destino,Localidad,Coor Magna Sirgas,Fecha Cancela,Usuario Cancela,Fecha Cargando,Antelacion,Retraso,Tiempo Cancela Antelacion,Tiempo Cancela Retraso,Observacion,Obs Detalle,Obs Cambia Estado
250961,S-221912,10/05/2022 07:03:43,10/05/2022 07:03:43,Demanda,No,INMOVILIZACION,Inmovilización en Vía,No Cumplio,Terminado,Anulado,44,WNN347,PLANCHON,Policia,Cra. 13a  77a,Camioneta,No Aplica,No Aplica,CHAPINERO," X:1746758.1005891,Y:-6115145.0342317,Z:515350.64321155",,,10/05/2022 08:27:59,00:00:00,01:24:16,00:00:00,00:00:00,uso particular,,
250937,S-221888,10/05/2022 03:42:35,10/05/2022 03:42:35,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,151,ESO151,PLANCHON,Policia,KR 55 15 02,Automovil,No Aplica,No Aplica,PUENTE ARANDA," X:1741483.4279807,Y:-6116954.5579538,Z:511738.64690876",,,10/05/2022 03:43:02,00:00:00,00:00:27,00:00:00,00:00:00,151 ATIENDE,,
250938,S-221889,10/05/2022 04:45:56,10/05/2022 04:45:56,Demanda,No,ACCIDENTE,Inmovilización en Vía,No Cumplio,Terminado,Anulado,143,ESO143,PLANCHON,Policia,KR 128 139 33,Automovil,No Aplica,No Aplica,SUBA," X:1741014.9133756,Y:-6116003.1427458,Z:524459.23320642",,,10/05/2022 06:01:22,00:00:00,01:15:26,00:00:00,00:00:00,AUTOMOVIL 3134414205,,
250940,S-221891,10/05/2022 05:20:22,10/05/2022 05:20:22,Demanda,No,INMOVILIZACION,Inmovilización en Vía,No Cumplio,Terminado,Anulado,187,FUZ607,PLANCHON,Policia,DG 23 69 00,Automovil,No Aplica,No Aplica,FONTIBON," X:1740771.4254016,Y:-6116943.3497779,Z:514271.67280474",,,10/05/2022 05:53:17,00:00:00,00:32:55,00:00:00,00:00:00,187 ATIENDE,,
250943,S-221894,10/05/2022 05:51:09,10/05/2022 05:51:09,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,172,ESO054,PLANCHON,Policia,AC 17 86 45,Automovil,No Aplica,No Aplica,FONTIBON," X:1738391.583653,Y:-6117568.3967181,Z:514882.33095206",,,10/05/2022 06:01:04,00:00:00,00:09:55,00:00:00,00:00:00,172 ATIENDE ,,
250945,S-221896,10/05/2022 06:05:03,10/05/2022 06:05:03,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,38,WFI413,PLANCHON,Policia,AC 19 30 01,Automovil,No Aplica,No Aplica,PUENTE ARANDA," X:1743614.7764298,Y:-6116465.932516,Z:510329.10118864",,,10/05/2022 06:26:54,00:00:00,00:21:51,00:00:00,00:00:00,38 ATIENDE ,,
250954,S-221905,10/05/2022 06:43:22,10/05/2022 06:43:22,Demanda,No,ACCIDENTE,Inmovilización en Vía,No Cumplio,Terminado,Anulado,203,FVL553,GANCHO LIVIANO,Policia,CL 10 40 00,Buseta,No Aplica,No Aplica,PUENTE ARANDA," X:1742122.9734601,Y:-6116902.7420343,Z:510189.31654036",,,10/05/2022 07:37:29,00:00:00,00:54:07,00:00:00,00:00:00,203 ATIENDE,,
250957,S-221908,10/05/2022 06:50:10,10/05/2022 06:50:10,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,168,ESO050,PLANCHON,Policia,AC 26 102 98,Automovil,No Aplica,No Aplica,FONTIBON," X:1738947.458319,Y:-6117126.9341401,Z:518216.84955682",,,10/05/2022 06:58:11,00:00:00,00:08:01,00:00:00,00:00:00,168 ATIENDE,,
250965,S-221916,10/05/2022 07:23:35,10/05/2022 07:23:35,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,183,FST657,PLANCHON,Policia,AC 9 60 03,Automovil,No Aplica,No Aplica,PUENTE ARANDA," X:1740682.8661888,Y:-6117214.7216769,Z:511354.96556968",,,10/05/2022 07:24:01,00:00:00,00:00:26,00:00:00,00:00:00,183 ATIENDE ,,
250970,S-221921,10/05/2022 07:34:29,10/05/2022 07:34:29,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,47,WNN628,PLANCHON,Policia,KR 86 52A 00,Automovil,No Aplica,No Aplica,ENGATIVA," X:1740466.6131189,Y:-6116770.7337695,Z:517326.67643847",,,10/05/2022 07:35:02,00:00:00,00:00:33,00:00:00,00:00:00,47 ATIENDE ,,
