"id","incident_id","implicated_type","injured_count","dead_count"
95,24,97,0,0
96,24,95,0,0
3,3,105,1,1
4,3,155,1,0
97,26,103,0,0
98,26,105,0,0
9,5,164,1,0
10,5,162,0,0
11,5,104,1,0
12,6,101,1,0
99,27,95,0,0
100,27,95,0,0
101,33,95,0,0
102,33,95,0,0
218,57,95,0,0
219,57,104,1,0
220,58,99,0,0
400,99,99,0,0
401,99,95,0,0
223,59,95,0,0
224,59,97,0,0
225,60,99,0,0
226,60,105,0,0
403,100,99,0,0
404,100,105,0,0
114,31,99,0,0
115,31,105,0,0
407,116,114,0,0
408,116,101,0,0
411,105,95,0,0
412,105,95,0,0
120,29,103,0,0
121,29,95,0,0
229,61,101,0,0
230,61,116,0,0
231,62,95,0,0
232,62,99,0,0
415,108,97,0,0
416,108,95,0,0
582,157,95,0,0
21850,6032,95,0,0
21851,6032,116,0,0
131,32,95,0,0
132,32,95,0,0
133,14,103,0,0
134,14,95,0,0
135,15,99,0,0
136,15,103,0,0
137,19,95,0,0
138,19,116,0,0
139,35,95,0,0
140,35,95,0,0
141,36,95,0,0
142,36,99,0,0
583,157,95,0,0
429,115,97,0,0
59,9,103,0,0
60,9,105,0,1
22155,6119,163,0,0
22156,6119,95,0,0
430,115,95,0,0
27126,7469,101,0,0
27127,7469,95,0,0
145,37,95,0,0
146,37,95,0,0
147,38,95,0,0
148,38,99,0,0
242,63,99,0,0
243,63,95,0,0
244,64,105,0,0
245,65,97,0,0
246,65,95,0,0
247,66,164,0,0
248,66,104,0,0
249,67,95,0,0
250,67,95,0,0
255,68,103,0,0
256,68,95,0,0
257,69,105,0,0
87,16,95,0,0
88,16,99,0,0
258,69,114,0,0
259,70,97,0,0
91,17,95,0,0
92,17,95,0,0
260,70,105,0,0
261,71,95,0,0
149,41,95,0,0
150,41,105,0,0
151,41,105,0,0
152,42,95,0,0
153,42,103,0,0
154,43,95,0,0
155,43,101,0,0
156,39,95,0,0
157,39,105,0,0
158,39,105,0,0
449,120,97,0,0
450,120,95,0,0
453,121,95,0,0
165,47,101,0,0
166,47,105,1,0
454,121,95,0,0
467,125,95,0,0
468,125,95,0,0
473,128,95,0,0
474,128,105,1,0
178,51,97,0,0
179,51,105,0,0
180,51,155,0,0
181,44,95,0,0
182,44,99,0,0
183,46,101,0,0
184,46,95,0,0
479,129,95,0,0
480,129,95,0,0
483,131,101,0,0
188,53,99,0,0
189,53,99,0,0
190,48,95,0,0
191,48,95,0,0
484,131,104,0,0
487,132,95,0,0
488,132,95,0,0
491,134,95,0,0
492,134,95,0,0
497,136,101,0,0
498,136,105,1,0
501,137,99,0,0
200,50,95,0,0
201,50,95,0,0
202,49,99,0,0
203,52,105,1,0
204,52,105,0,0
502,137,105,0,0
516,138,101,0,0
212,54,97,0,0
213,54,105,1,0
214,55,95,0,0
215,55,114,0,0
216,56,103,0,0
217,56,101,1,0
517,138,105,0,0
523,139,163,0,0
524,139,105,0,0
531,140,105,0,0
532,140,104,0,0
533,140,104,0,0
538,143,105,0,0
543,145,103,0,0
544,145,95,0,0
545,146,95,0,0
546,146,95,0,0
402,101,105,0,0
405,102,95,0,0
406,102,103,0,0
409,103,95,0,0
410,103,104,0,0
413,106,95,0,0
414,106,105,0,0
417,109,99,0,0
418,109,105,0,0
419,110,99,0,0
420,110,95,0,0
421,111,95,0,0
422,111,105,0,0
423,112,95,0,0
424,112,104,0,0
427,114,105,0,0
428,114,104,0,0
1186,309,99,0,0
1187,309,104,0,0
874,234,95,0,0
875,234,101,0,0
878,230,101,0,0
301,91,99,0,0
302,91,162,1,0
879,230,105,0,0
443,117,99,0,0
444,117,105,0,0
447,118,95,0,0
448,118,95,0,0
451,122,95,0,0
309,73,95,0,0
310,73,101,0,0
311,74,105,0,0
312,74,99,0,0
313,75,101,0,0
314,75,104,0,0
315,76,103,0,0
316,76,99,0,0
317,77,103,0,0
318,77,95,0,0
319,78,95,0,0
320,78,105,0,0
321,79,101,0,0
322,79,97,0,0
323,80,99,0,0
324,80,163,0,0
325,81,95,0,0
326,81,105,0,0
327,82,101,0,0
328,82,95,0,0
329,83,105,0,0
330,84,103,0,0
331,84,104,0,0
332,85,105,0,0
333,85,99,0,0
334,86,105,0,0
335,86,155,0,0
336,87,101,0,0
337,87,95,0,0
338,88,95,0,0
339,88,95,0,0
340,89,95,0,0
341,89,105,0,0
342,90,130,0,0
343,90,182,0,0
344,93,95,0,0
345,93,112,0,0
452,122,105,0,0
455,119,99,0,0
348,94,99,0,0
349,94,95,0,0
350,92,95,0,0
351,92,95,0,0
352,95,105,0,0
353,95,105,0,0
354,23,95,0,0
355,23,105,0,0
356,20,95,0,0
357,20,104,0,0
456,119,105,0,0
459,123,103,0,0
460,123,95,0,0
880,229,95,0,0
881,229,105,0,0
884,221,95,0,0
885,221,97,0,0
886,217,101,0,0
887,217,114,0,0
888,213,95,0,0
889,213,103,0,0
1612,416,95,0,0
1613,416,95,0,0
1614,416,105,1,0
27128,7470,95,0,0
1210,314,103,0,0
1211,314,163,0,0
1620,421,95,0,0
1621,421,105,0,0
1226,321,95,0,0
22158,6120,101,0,0
22159,6120,105,0,0
22196,6134,105,0,0
22199,6136,95,0,0
611,158,101,0,0
612,158,105,0,0
613,158,105,2,0
614,159,95,0,0
22200,6136,95,0,0
615,159,95,0,0
616,159,95,0,0
617,159,99,0,0
618,160,103,0,0
396,96,103,0,0
397,97,105,0,0
398,98,105,0,0
399,98,105,0,0
465,126,95,0,0
466,126,95,0,0
619,160,95,0,0
620,162,103,0,0
471,127,95,0,0
472,127,99,0,0
621,162,99,0,0
481,130,95,0,0
482,130,95,0,0
489,133,95,0,0
490,133,95,0,0
495,135,97,0,0
496,135,105,0,0
515,144,105,0,0
534,141,103,0,0
535,141,97,0,0
536,142,101,0,0
537,142,99,0,0
547,147,95,0,0
548,147,105,0,0
552,148,105,0,0
553,148,104,0,0
554,149,95,0,0
555,149,95,0,0
556,150,103,0,0
557,150,95,0,0
563,152,95,0,0
564,152,105,0,0
565,151,101,0,0
570,153,95,0,0
571,153,95,0,0
572,154,101,0,0
573,154,99,0,0
578,155,101,0,0
579,155,95,0,0
580,156,95,0,0
581,156,99,0,0
872,237,NULL,0,0
873,237,104,0,0
630,176,101,0,0
631,176,95,0,0
876,233,97,0,0
877,233,105,0,0
634,163,104,0,0
635,163,104,0,0
636,179,104,0,0
637,179,104,0,0
638,164,99,0,0
639,164,104,0,0
640,168,101,0,0
641,168,99,0,0
642,169,99,0,0
643,169,97,0,0
644,170,101,0,0
645,170,95,0,0
646,171,95,0,0
647,171,95,0,0
648,172,95,0,0
649,172,95,0,0
650,173,95,0,0
651,173,95,0,0
652,174,95,0,0
653,174,105,0,0
654,175,95,0,0
655,175,95,0,0
882,223,107,0,0
883,223,95,0,0
890,212,101,0,0
891,212,95,0,0
1615,417,99,0,0
1616,417,105,0,0
2798,715,112,0,0
663,177,99,0,0
664,177,105,0,0
2799,715,95,0,0
1205,311,105,0,0
1212,315,99,0,0
1213,315,95,0,0
669,180,163,0,0
670,180,97,0,0
671,181,101,0,0
672,181,95,0,0
673,178,95,0,0
674,178,95,0,0
675,182,103,0,0
676,182,95,0,0
677,183,103,0,0
678,184,101,0,0
679,184,95,0,0
680,185,95,0,0
681,185,95,0,0
1631,424,103,0,0
1632,424,95,0,0
1227,321,105,1,0
1640,434,105,0,0
1641,434,95,0,0
2802,725,95,0,0
2803,725,95,0,0
1249,324,95,0,0
692,186,101,0,0
693,186,95,0,0
694,187,95,0,0
695,187,105,0,0
696,188,101,0,0
697,188,95,0,0
698,189,95,0,0
699,189,105,0,0
700,190,95,0,0
701,190,101,0,0
1250,324,95,0,0
1257,327,105,1,0
719,197,97,0,0
720,197,105,0,0
721,191,95,0,0
722,191,95,0,0
723,196,95,0,0
724,196,95,0,0
725,195,163,0,0
726,195,103,0,0
727,192,101,0,0
728,192,101,0,0
729,193,95,0,0
730,193,103,0,0
731,194,95,0,0
732,194,95,0,0
753,198,95,0,0
754,198,105,0,0
755,208,97,0,0
756,208,103,0,0
757,208,105,0,0
758,203,95,0,0
759,203,95,0,0
760,204,97,0,0
761,204,105,0,0
762,200,103,0,0
763,200,97,0,0
764,205,97,0,0
765,205,105,0,0
766,199,105,0,0
